SKU;model;brand;product;description;long_description;width;width_unit;depth;depth_unit;height;height_unit;weight;weight_unit;price;sale_price;currency;stock;stock_status;category;tags;EAN;tax_class;shipping_class;product_type;parent_SKU;attribute_1_name;attribute_1_value;attribute_2_name;attribute_2_value;attribute_3_name;attribute_3_value;attribute_4_name;attribute_4_value;attribute_5_name;attribute_5_value;attribute_6_name;attribute_6_value;status;video_url;image;image_2;image_3;datasheet_url;manual_url;technicalmanual_url;drawing_url;catalogue_url;photo_url;card_url;brandcatalogue_url;price_url
CKNIXTCDA_107E;CDA_107E;Inoxtrend;Convection oven;Line Professional - oven with steam, analogic, electric, 7 levels GN 1/1;"Ovens with direct steam injection.The lengthwise insertion of the tray is the typical solution required by the medium and large catering business. The chef has all the essentials to express his best talents: three cooking modes, as convection, steam, combi; humidity control in the chamber and a “cookbook” in which he can store his creations. Pitch 67 mm, Number of ventilation speed with autoreverse 1 , Release manual valve . ";850;mm;890;mm;990;mm;;;5508;;EUR;;instock;cooking>oven;cooking, oven, convection oven;;;;simple;;power supply;electric;power (Kw);8,3;Voltage;400V 3N;control panel;analogic;;;;;;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_video_FX_DT610G.mp4;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_image_CDA_107E.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_image_2_CDA_107E.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_image_3_CDA_107E.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_datasheet_CDA_107E.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_manual_CDA_107E.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_technicalmanual_CDA_107E.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_drawing_CDA_107E.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_catalogue_professional.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_photo_CDA_107E.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_card_CDA_107E.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_price.pdf
CKNIXTCDA_107G;CDA_107G;Inoxtrend;Convection oven;Line Professional - oven with steam, analogic, gas, 7 levels GN 1/1;"Ovens with direct steam injection.The lengthwise insertion of the tray is the typical solution required by the medium and large catering business. The chef has all the essentials to express his best talents: three cooking modes, as convection, steam, combi; humidity control in the chamber and a “cookbook” in which he can store his creations. Pitch 67 mm, Number of ventilation speed with autoreverse 1 , Release manual valve . ";850;mm;890;mm;990;mm;;;7560;;EUR;;instock;cooking>oven;cooking, oven, convection oven;;;;simple;;power supply;gas;power (Kw);12 + 0,3;Voltage;220-240V IN;control panel;analogic;;;;;;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_video_FX_DT616E.mp4;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_image_CDA_107G.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_image_2_CDA_107G.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_image_3_CDA_107G.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_datasheet_CDA_107G.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_manual_CDA_107G.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_technicalmanual_CDA_107G.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_drawing_CDA_107G.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_catalogue_professional.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_photo_CDA_107G.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_card_CDA_107G.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_price.pdf
CKNIXTCDA_111E;CDA_111E;Inoxtrend;Convection oven;Line Professional - oven with steam, analogic, electric, 11 levels GN 1/1;"Ovens with direct steam injection.The lengthwise insertion of the tray is the typical solution required by the medium and large catering business. The chef has all the essentials to express his best talents: three cooking modes, as convection, steam, combi; humidity control in the chamber and a “cookbook” in which he can store his creations. Pitch 67 mm, Number of ventilation speed with autoreverse 1 , Release manual valve . ";850;mm;890;mm;1270;mm;;;7614;;EUR;;instock;cooking>oven;cooking, oven, convection oven;;;;simple;;power supply;electric;power (Kw);16,4;Voltage;400V 3N;control panel;analogic;;;;;;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_video_LS_066EP.mp4;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_image_CDA_111E.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_image_2_CDA_111E.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_image_3_CDA_111E.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_datasheet_CDA_111E.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_manual_CDA_111E.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_technicalmanual_CDA_111E.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_drawing_CDA_111E.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_catalogue_professional.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_photo_CDA_111E.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_card_CDA_111E.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_price.pdf
CKNIXTCDA_111G;CDA_111G;Inoxtrend;Convection oven;Line Professional - oven with steam, analogic, gas, 11 levels GN 1/1;"Ovens with direct steam injection.The lengthwise insertion of the tray is the typical solution required by the medium and large catering business. The chef has all the essentials to express his best talents: three cooking modes, as convection, steam, combi; humidity control in the chamber and a “cookbook” in which he can store his creations. Pitch 67 mm, Number of ventilation speed with autoreverse 1 , Release manual valve . ";850;mm;890;mm;1270;mm;;;9666;;EUR;;instock;cooking>oven;cooking, oven, convection oven;;;;simple;;power supply;gas;power (Kw);16+0,5;Voltage;220-240V IN;control panel;analogic;;;;;;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_video_LS_088EP.mp4;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_image_CDA_111G.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_image_2_CDA_111G.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_image_3_CDA_111G.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_datasheet_CDA_111G.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_manual_CDA_111G.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_technicalmanual_CDA_111G.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_drawing_CDA_111G.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_catalogue_professional.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_photo_CDA_111G.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_card_CDA_111G.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_price.pdf
CKNIXTCDA_120E;CDA_120E;Inoxtrend;Convection oven;Line Professional - oven with steam, analogic, electric, 20 levels GN 1/1;"Ovens with direct steam injection.The lengthwise insertion of the tray is the typical solution required by the medium and large catering business. The chef has all the essentials to express his best talents: three cooking modes, as convection, steam, combi; humidity control in the chamber and a “cookbook” in which he can store his creations. Pitch 65 mm, Number of ventilation speed with autoreverse 1 , Release manual valve . ";1080;mm;1200;mm;2100;mm;;;18360;;EUR;;instock;cooking>oven;cooking, oven, convection oven;;;;simple;;power supply;electric;power (Kw);30;Voltage;400V 3N;control panel;analogic;;;;;;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_video_LS_408ENB.mp4;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_image_CDA_120E.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_image_2_CDA_120E.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_image_3_CDA_120E.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_datasheet_CDA_120E.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_manual_CDA_120E.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_technicalmanual_CDA_120E.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_drawing_CDA_120E.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_catalogue_professional.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_photo_CDA_120E.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_card_CDA_120E.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_price.pdf
CKNIXTCDA_120G;CDA_120G;Inoxtrend;Convection oven;Line Professional - oven with steam, analogic, gas, 20 levels GN 1/1;"Ovens with direct steam injection.The lengthwise insertion of the tray is the typical solution required by the medium and large catering business. The chef has all the essentials to express his best talents: three cooking modes, as convection, steam, combi; humidity control in the chamber and a “cookbook” in which he can store his creations. Pitch 65 mm, Number of ventilation speed with autoreverse 1 , Release manual valve .";1080;mm;1200;mm;2100;mm;;;22680;;EUR;;instock;cooking>oven;cooking, oven, convection oven;;;;simple;;power supply;gas;power (Kw);29+1,5;Voltage;220-240V IN;control panel;analogic;;;;;;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_video_LS_608ENB.mp4;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_image_CDA_120G.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_image_2_CDA_120G.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_image_3_CDA_120G.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_datasheet_CDA_120G.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_manual_CDA_120G.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_technicalmanual_CDA_120G.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_drawing_CDA_120G.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_catalogue_professional.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_photo_CDA_120G.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_card_CDA_120G.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_price.pdf
CKNIXTCDA_207E;CDA_207E;Inoxtrend;Convection oven;Line Professional - oven with steam, analogic, electric, 7 levels GN 2/1;"Ovens with direct steam injection.The lengthwise insertion of the tray is the typical solution required by the medium and large catering business. The chef has all the essentials to express his best talents: three cooking modes, as convection, steam, combi; humidity control in the chamber and a “cookbook” in which he can store his creations. Pitch 67 mm, Number of ventilation speed with autoreverse 1 , Release manual valve . ";1160;mm;1040;mm;1000;mm;;;8100;;EUR;;instock;cooking>oven;cooking, oven, convection oven;;;;simple;;power supply;electric;power (Kw);16,4;Voltage;400V 3N;control panel;analogic;;;;;;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_video_LU_ BT120E.mp4;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_image_CDA_207E.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_image_2_CDA_207E.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_image_3_CDA_207E.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_datasheet_CDA_207E.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_manual_CDA_207E.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_technicalmanual_CDA_207E.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_drawing_CDA_207E.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_catalogue_professional.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_photo_CDA_207E.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_card_CDA_207E.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_price.pdf
CKNIXTCDA_207G;CDA_207G;Inoxtrend;Convection oven;Line Professional - oven with steam, analogic, gas, 7 levels GN 2/1;"Ovens with direct steam injection.The lengthwise insertion of the tray is the typical solution required by the medium and large catering business. The chef has all the essentials to express his best talents: three cooking modes, as convection, steam, combi; humidity control in the chamber and a “cookbook” in which he can store his creations. Pitch 67 mm, Number of ventilation speed with autoreverse 1 , Release manual valve . ";1160;mm;1040;mm;1000;mm;;;10260;;EUR;;instock;cooking>oven;cooking, oven, convection oven;;;;simple;;power supply;gas;power (Kw);16+0,5;Voltage;220-240V IN;control panel;analogic;;;;;;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_video_LU_DT107E.mp4;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_image_CDA_207G.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_image_2_CDA_207G.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_image_3_CDA_207G.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_datasheet_CDA_207G.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_manual_CDA_207G.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_technicalmanual_CDA_207G.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_drawing_CDA_207G.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_catalogue_professional.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_photo_CDA_207G.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_card_CDA_207G.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_price.pdf
CKNIXTCDA_211E;CDA_211E;Inoxtrend;Convection oven;Line Professional - oven with steam, analogic, electric, 11 levels GN 2/1;"Ovens with direct steam injection.The lengthwise insertion of the tray is the typical solution required by the medium and large catering business. The chef has all the essentials to express his best talents: three cooking modes, as convection, steam, combi; humidity control in the chamber and a “cookbook” in which he can store his creations. Pitch 67 mm, Number of ventilation speed with autoreverse 1 , Release manual valve . ";1160;mm;1040;mm;1260;mm;;;11988;;EUR;;instock;cooking>oven;cooking, oven, convection oven;;;;simple;;power supply;electric;power (Kw);16,4;Voltage;400V 3N;control panel;analogic;;;;;;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_video_LU_DT107G.mp4;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_image_CDA_211E.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_image_2_CDA_211E.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_image_3_CDA_211E.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_datasheet_CDA_211E.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_manual_CDA_211E.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_technicalmanual_CDA_211E.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_drawing_CDA_211E.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_catalogue_professional.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_photo_CDA_211E.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_card_CDA_211E.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_price.pdf
CKNIXTCDA_211G;CDA_211G;Inoxtrend;Convection oven;Line Professional - oven with steam, analogic, gas, 11 levels GN 2/1;"Ovens with direct steam injection.The lengthwise insertion of the tray is the typical solution required by the medium and large catering business. The chef has all the essentials to express his best talents: three cooking modes, as convection, steam, combi; humidity control in the chamber and a “cookbook” in which he can store his creations. Pitch 67 mm, Number of ventilation speed with autoreverse 1 , Release manual valve . ";1160;mm;1040;mm;1260;mm;;;14904;;EUR;;instock;cooking>oven;cooking, oven, convection oven;;;;simple;;power supply;gas;power (Kw);23+0,6;Voltage;220-240V IN;control panel;analogic;;;;;;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_video_LU_DT111E.mp4;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_image_CDA_211G.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_image_2_CDA_211G.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_image_3_CDA_211G.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_datasheet_CDA_211G.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_manual_CDA_211G.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_technicalmanual_CDA_211G.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_drawing_CDA_211G.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_catalogue_professional.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_photo_CDA_211G.jpg;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_card_CDA_211G.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/inoxtrend/refs/heads/main/inoxtrend_price.pdf
